,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Energy and Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Water Sales and Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Water Prices, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 02/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: MINISTRY OF SUSTAINABILITY AND THE ENVIRONMENT, PUB, SINGAPORE S NATIONAL WATER AGENCY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2025 ,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 
Newater Price (Dollar Per Cubic Metre),2.5,2.41,2.33,2.33,2.33,2.33,2.33,2.33,2.19,1.78,1.78,1.78,1.78,1.78,1.66,1.66,1.56,1.56,1.56,1.71,1.71,1.86,1.86,na,na,na,na,na,na,na
  Tariff (Dollar Per Cubic Metre),1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.22,1.22,1.22,1.22,1.22,1.1,1.1,1,1,1,1.15,1.15,1.3,1.3,na,na,na,na,na,na,na
  Water Conservation Tax (Dollar),0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Waterborne Tax (Dollar),1.09,1,0.92,0.92,0.92,0.92,0.92,0.92,0.78,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,na,na,na,na,na,na,na
Industrial Water Price (Dollar Per Cubic Metre),1.75,1.66,1.58,1.58,1.58,1.58,1.58,1.58,1.44,1.21,1.21,1.21,1.21,0.58,0.52,0.46,0.4,0.4,0.4,0.41,0.41,0.41,0.41,0.42,0.42,0.39,0.37,0.37,0.37,0.33
  Tariff (Dollar Per Cubic Metre),0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.58,0.52,0.46,0.4,0.4,0.4,0.41,0.41,0.41,0.41,0.42,0.42,0.39,0.37,0.37,0.37,0.33
  Waterborne Tax (Dollar),1.09,1,0.92,0.92,0.92,0.92,0.92,0.92,0.78,0.56,0.56,0.56,0.56,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data on water prices are as at end of December of each year.  Water is charged by per cubic metre, which is equivalent to 1,000 litres. Excludes Goods and Services Tax.  Water prices remain unchanged unless revised.  Year 2025 data reflect the latest water prices that took effect from 1 April 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Potable Water Price For Domestic Users, 0-40 Cubic Metres -> Water Conservation Tax (Dollar):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 1 July 1997, Water Conservation Tax was imposed on Potable Water.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Potable Water Price For Domestic Users, 0-40 Cubic Metres -> Waterborne Tax (Dollar):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 1 July 2017, the Sanitary Appliance Fee (Dollar Per Fitting) was combined with the Waterborne Fee into a single, volume-based fee.  The Waterborne Fee was renamed to Waterborne Tax in 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Potable Water Price For Domestic Users, 0-40 Cubic Metres -> Sanitary Appliance Fee (Dollar Per Fitting):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For the calculation of total price, the Sanitary Appliance Fee is converted to its volumetric equivalent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Potable Water Price For Domestic Users, > 40 Cubic Metres -> Water Conservation Tax (Dollar):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 1 July 1997, Water Conservation Tax was imposed on Potable Water.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Potable Water Price For Domestic Users, > 40 Cubic Metres -> Waterborne Tax (Dollar):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 1 July 2017, the Sanitary Appliance Fee (Dollar Per Fitting) was combined with the Waterborne Fee into a single, volume-based fee.  The Waterborne Fee was renamed to Waterborne Tax in 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Potable Water Price For Domestic Users, > 40 Cubic Metres -> Sanitary Appliance Fee (Dollar Per Fitting):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For the calculation of total price, the Sanitary Appliance Fee is converted to its volumetric equivalent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potable Water Price For Non-Domestic Users -> Water Conservation Tax (Dollar):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 1 July 1997, Water Conservation Tax was imposed on Potable Water.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potable Water Price For Non-Domestic Users -> Waterborne Tax (Dollar):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 1 July 2017, the Sanitary Appliance Fee (Dollar Per Fitting) was combined with the Waterborne Fee into a single, volume-based fee.  The Waterborne Fee was renamed to Waterborne Tax in 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potable Water Price For Non-Domestic Users -> Sanitary Appliance Fee (Dollar Per Fitting):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For the calculation of total price, the Sanitary Appliance Fee is converted to its volumetric equivalent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potable Water Price For Shipping Customers -> Water Conservation Tax (Dollar):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 1 July 1997, Water Conservation Tax was imposed on Potable Water.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potable Water Price For Shipping Customers -> Waterborne Tax (Dollar):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Waterborne Fee was renamed to Waterborne Tax in 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newater Price -> Water Conservation Tax (Dollar):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 1 July 2017, Water Conservation Tax was imposed on NEWater.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newater Price -> Waterborne Tax (Dollar):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Waterborne Fee was renamed to Waterborne Tax in 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial Water Price -> Waterborne Tax (Dollar):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Waterborne Fee was renamed to Waterborne Tax in 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial Water:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Industrial wastewater is a by-product of manufacturing processes at industrial or commercial premises. Its volume and properties are dependable on its source and other factors. With suitable treatment, industrial water can be recycled and reused as boiler or cooling tower feed water supplement, material washing, irrigation, toilet flushing, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWater:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEWater is high-grade recycled water produced from treated used water that is further purified using advanced membrane technologies and ultra-violet disinfection, making it ultra-clean and safe to drink.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 12/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
